11:26:10.687 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
12:43:00.982 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (60d8b108f66bf31407abef4c838f5f5f)] -> xpath: //span[@data-test='title']]
12:43:00.984 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
12:43:01.278 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
12:43:03.111 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (86cdb71ae6e9574a91c053140ed84690)] -> id: user-name]
12:43:03.209 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (86cdb71ae6e9574a91c053140ed84690)] -> id: password]
12:43:03.297 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (86cdb71ae6e9574a91c053140ed84690)] -> id: login-button]
12:43:03.322 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:43:03.351 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (86cdb71ae6e9574a91c053140ed84690)] -> xpath: //h3]
12:43:03.351 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
12:43:03.516 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
12:43:05.078 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (99ba80df837884a0970c00b517906340)] -> id: user-name]
12:43:05.177 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (99ba80df837884a0970c00b517906340)] -> id: password]
12:43:05.259 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (99ba80df837884a0970c00b517906340)] -> id: login-button]
12:43:05.282 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:43:05.311 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (99ba80df837884a0970c00b517906340)] -> xpath: //h3]
12:43:05.312 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
12:43:05.477 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
12:43:07.058 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (f7fe03fc2c76cd0c60fab9271445a3a2)] -> id: user-name]
12:43:07.179 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (f7fe03fc2c76cd0c60fab9271445a3a2)] -> id: password]
12:43:07.271 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (f7fe03fc2c76cd0c60fab9271445a3a2)] -> id: login-button]
12:43:07.297 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:43:07.330 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (f7fe03fc2c76cd0c60fab9271445a3a2)] -> xpath: //h3]
12:43:07.330 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
12:44:52.331 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
12:44:54.461 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (6870bf4505762e66b690a813d0e8d77e)] -> id: user-name]
12:44:54.562 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (6870bf4505762e66b690a813d0e8d77e)] -> id: password]
12:45:04.736 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
12:45:04.769 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (6870bf4505762e66b690a813d0e8d77e)] -> xpath: //span[@data-test='title']]
12:45:04.771 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
12:45:05.035 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
12:45:06.663 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (ab102f7fb9fb783a081baba5a74c93fc)] -> id: user-name]
12:45:06.778 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (ab102f7fb9fb783a081baba5a74c93fc)] -> id: password]
12:45:06.865 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (ab102f7fb9fb783a081baba5a74c93fc)] -> id: login-button]
12:45:06.888 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:45:06.919 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (ab102f7fb9fb783a081baba5a74c93fc)] -> xpath: //h3]
12:45:06.920 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
12:45:07.069 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
12:45:08.297 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (dbd08863a137b6fc189583b788ac7460)] -> id: user-name]
12:45:08.404 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (dbd08863a137b6fc189583b788ac7460)] -> id: password]
12:45:08.496 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (dbd08863a137b6fc189583b788ac7460)] -> id: login-button]
12:45:08.527 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:45:08.559 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (dbd08863a137b6fc189583b788ac7460)] -> xpath: //h3]
12:45:08.559 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
12:45:08.717 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
12:45:30.931 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (55b1f0b2b59945b12562f2a776133f68)] -> id: user-name]
12:45:31.021 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (55b1f0b2b59945b12562f2a776133f68)] -> id: password]
12:45:31.106 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (55b1f0b2b59945b12562f2a776133f68)] -> id: login-button]
12:45:31.130 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
12:45:31.158 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (55b1f0b2b59945b12562f2a776133f68)] -> xpath: //h3]
12:45:31.159 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
12:45:34.652 [main] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
12:45:36.682 [main] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (b61e73a93091f4c47479bca09dadff43)] -> id: user-name]
12:45:36.790 [main] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (b61e73a93091f4c47479bca09dadff43)] -> id: password]
12:45:46.947 [main] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
12:45:46.980 [main] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (b61e73a93091f4c47479bca09dadff43)] -> xpath: //span[@data-test='title']]
12:45:46.983 [main] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
12:45:47.247 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
12:45:48.597 [main] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (45b452d76aaeb0601d2e4ef333c43c26)] -> id: user-name]
12:45:48.711 [main] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (45b452d76aaeb0601d2e4ef333c43c26)] -> id: password]
12:45:48.802 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (45b452d76aaeb0601d2e4ef333c43c26)] -> id: login-button]
12:45:48.830 [main] INFO  utils.LoggerUtilities - Element displayed status: true
12:45:48.865 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (45b452d76aaeb0601d2e4ef333c43c26)] -> xpath: //h3]
12:45:48.866 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
12:45:49.030 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
12:45:50.267 [main] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (a4abab2b9b4dc67c2ffa88225a5829c2)] -> id: user-name]
12:45:50.377 [main] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (a4abab2b9b4dc67c2ffa88225a5829c2)] -> id: password]
12:45:50.465 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (a4abab2b9b4dc67c2ffa88225a5829c2)] -> id: login-button]
12:45:50.495 [main] INFO  utils.LoggerUtilities - Element displayed status: true
12:45:50.526 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (a4abab2b9b4dc67c2ffa88225a5829c2)] -> xpath: //h3]
12:45:50.527 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
12:45:50.688 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
12:46:12.942 [main] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (97a0d5722fa040b4aa724ccac66224e4)] -> id: user-name]
12:46:13.041 [main] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (97a0d5722fa040b4aa724ccac66224e4)] -> id: password]
12:46:13.120 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (97a0d5722fa040b4aa724ccac66224e4)] -> id: login-button]
12:46:13.145 [main] INFO  utils.LoggerUtilities - Element displayed status: true
12:46:13.176 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (97a0d5722fa040b4aa724ccac66224e4)] -> xpath: //h3]
12:46:13.176 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
